0 adam | xavier | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
1 adam | xavier | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
2 adam | xavier | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
3 adam | xavier | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
4 adam | xavier | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
5 adam | xavier | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
6 adam | xavier | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
7 adam | xavier | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
8 adam | kaiming | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
9 adam | kaiming | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
10 adam | kaiming | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
11 adam | kaiming | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
12 adam | kaiming | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
13 adam | kaiming | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
14 adam | kaiming | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
15 adam | kaiming | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
16 rmsprop | xavier | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
17 rmsprop | xavier | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
18 rmsprop | xavier | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
19 rmsprop | xavier | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
20 rmsprop | xavier | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
21 rmsprop | xavier | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
22 rmsprop | xavier | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
23 rmsprop | xavier | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
24 rmsprop | kaiming | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
25 rmsprop | kaiming | 32 64 256 256 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
26 rmsprop | kaiming | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
27 rmsprop | kaiming | 32 64 256 256 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts
28 rmsprop | kaiming | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.2 20 0.2
29 rmsprop | kaiming | 256 128 64 32 | 2042 512 128  0.25 0.25 0.25 | 0.4 40 0.4 --scale_verts
30 rmsprop | kaiming | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.2 20 0.2
31 rmsprop | kaiming | 256 128 64 32 | 1024 512 128  0.5 0.25 0.125 | 0.4 40 0.4 --scale_verts

