utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 48601 MiB, 47745 MiB, 856 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 48601 MiB, 47725 MiB, 876 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
41 %, 3 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 4 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 4 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 5 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 5 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 5 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 5 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 6 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 6 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 6 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 6 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 7 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 7 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 7 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 7 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 8 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 8 %, 48601 MiB, 47507 MiB, 1094 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
3 %, 0 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 2 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 2 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 3 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 3 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 47023 MiB, 1578 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 5 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 5 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 5 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 5 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 6 %, 48601 MiB, 47021 MiB, 1580 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
24 %, 3 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
32 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
32 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
32 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
33 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
33 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
33 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
34 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
37 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
37 %, 1 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
38 %, 2 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 2 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 3 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 3 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
40 %, 4 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
39 %, 4 %, 48601 MiB, 46443 MiB, 2158 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
29 %, 0 %, 48601 MiB, 45985 MiB, 2616 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
