utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 24220 MiB, 24217 MiB, 3 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 24220 MiB, 24217 MiB, 3 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 24220 MiB, 24217 MiB, 3 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 24220 MiB, 24205 MiB, 15 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 24220 MiB, 24018 MiB, 202 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 24220 MiB, 23996 MiB, 224 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 24220 MiB, 23958 MiB, 262 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 24220 MiB, 23906 MiB, 314 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 24220 MiB, 23836 MiB, 384 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2 %, 0 %, 24220 MiB, 23706 MiB, 514 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 24220 MiB, 23594 MiB, 626 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 24220 MiB, 23480 MiB, 740 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2 %, 0 %, 24220 MiB, 23354 MiB, 866 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 24220 MiB, 19076 MiB, 5144 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
5 %, 2 %, 24220 MiB, 14496 MiB, 9724 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
14 %, 9 %, 24220 MiB, 14494 MiB, 9726 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
5 %, 1 %, 24220 MiB, 14494 MiB, 9726 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 13 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
9 %, 6 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
8 %, 5 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 15 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
7 %, 5 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
8 %, 5 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
17 %, 15 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
7 %, 5 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
8 %, 5 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
17 %, 15 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
9 %, 6 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
6 %, 4 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
20 %, 14 %, 24220 MiB, 11056 MiB, 13164 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
10 %, 6 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
7 %, 4 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
6 %, 2 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
17 %, 14 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
13 %, 9 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
5 %, 1 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 13 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
12 %, 8 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
5 %, 1 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
17 %, 13 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
7 %, 5 %, 24220 MiB, 8766 MiB, 15454 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
